Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose materially important Scope 3 emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q14L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company disclose an internal price of carbon?,Q18L4|Does the company disclose the actions necessary to meet its emissions-reduction targets?,Q19L5|Does the company quantify the key elements of its emissions reduction strategy and the proportional impact of each action in achieving its targets?,Q20L5|Does the company's transition plan clarify the role that will be played by offsets and/or negative emissions technologies?,Q21L5|Does the company commit to phasing out capital expenditure on carbon intensive assets or products?,Q22L5|Does the company align future capital expenditures with its long-term decarbonisation goals and disclose how the alignment is determined?,Q23L5|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
L'Oreal,France,FRA,Consumer Goods,No,large,FR0000120321,4057808,01/11/2023,26/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
LATAM,Chile,CHL,Airlines,No,large,CL0000000423;US51817R1068,2518932;B84FQ53,01/11/2023,17/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
LG Chemical,South Korea,KOR,Chemicals,No,large,KR7051910008;KR7051911006,6346913;6346924,01/11/2023,11/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No
LG Electronics,South Korea,KOR,Other Industrials,No,large,KR7066570003,6520739,01/11/2023,12/05/2023,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
LVMH,France,FRA,Consumer Goods,No,large,FR0000121014,4061412,01/11/2023,17/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No
Lam Research,United States of America,USA,Other Industrials,No,large,US5128071082,2502247,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No
Lamb Weston Holdings,United States of America,USA,Food Producers,No,medium,US5132721045,BDQZFJ3,01/11/2023,12/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
Lanxess,Germany,DEU,Chemicals,No,medium,DE0005470405,B05M8B7,01/11/2023,28/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Lee & Man Paper Manufacturing,China,CHN,Paper,No,medium,KYG5427W1309,6693772,01/11/2023,05/05/2023,2,unchanged,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Leggett & Platt,United States of America,USA,Steel,No,small,US5246601075,2510682,01/11/2023,27/04/2023,2,unchanged,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Li Auto,China,CHN,Autos,No,large,US50202M1027,BMXHCD8,01/11/2023,17/04/2023,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Linde,United States of America,USA,Chemicals,No,large,IE00BZ12WP82,BZ12WP8,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Lindt & Spruengli,Switzerland,CHE,Food Producers,No,large,CH0010570759,5962309,01/11/2023,03/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Loblaw Companies,Canada,CAN,Services,No,medium,CA5394811015,2521800,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,No,Yes,No,No,No,No,No,No,No,No
Lockheed Martin,United States of America,USA,Other Industrials,Yes,large,US5398301094,2522096,01/11/2023,04/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Longchen Paper & Packaging,Taiwan,TWN,Paper,No,small,TW0001909000,6524236,01/11/2023,17/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Lotte Chemical,South Korea,KOR,Chemicals,No,large,KR7011170008,6440020,01/11/2023,11/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Lowe's,United States of America,USA,Services,No,large,US5486611073,2536763,01/11/2023,24/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Lufthansa,Germany,DEU,Airlines,No,medium,DE0008232125,5287488,01/11/2023,25/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Lynas,Australia,AUS,Diversified Mining,No,large,AU000000LYC6,#N/A,01/11/2023,24/04/2023,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
LyondellBasell Industries,United States of America,USA,Chemicals,Yes,large,NL0009434992,B3SPXZ3,01/11/2023,27/03/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
MEG Energy,Canada,CAN,Oil & Gas,No,small,CA5527041084,B4XF9J1,01/11/2023,26/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
MISC,Malaysia,MYS,Shipping,No,large,MYL3816OO005,6557997,01/11/2023,10/02/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,Yes,No,No,No,No,No
MMG,Hong Kong,HKG,Aluminium,No,medium,HK1208013172,6728793,01/11/2023,17/04/2023,1,unchanged,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
MOL,Japan,JPN,Shipping,No,large,JP3362700001,6597584,01/11/2023,03/03/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
MOL Group,Hungary,HUN,Oil & Gas,No,large,HU0000153937,BD5ZXH8,01/11/2023,19/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
MPLX,United States of America,USA,Oil & Gas Distribution,No,small,US55336V1008,B847R56,01/11/2023,17/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Magellan Midstream Partners,United States of America,USA,Oil & Gas Distribution,No,small,US5590801065,2723037,01/11/2023,05/05/2023,2,new,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Magna International,Canada,CAN,Other Industrials,No,medium,CA5592224011,2554475,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
Magnolia Oil & Gas,United States of America,USA,Oil & Gas,No,small,US5596631094,BF2GC59,01/11/2023,17/04/2023,1,new,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Mahindra&Mahindra,India,IND,Autos,No,large,INE101A01026,6100186,01/11/2023,27/03/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No
Malaysian Bulk Carriers,Malaysia,MYS,Shipping,No,unlisted,MYL5077OO002,6719128,01/11/2023,17/04/2023,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Manila Electric,Philippines,PHL,Electricity Utilities,No,large,PHY5764J1483,B247XZ6,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,No,No,No,No,No,No
Manulife Financial,Canada,CAN,Services,No,medium,CA56501R1064,2492519,01/11/2023,20/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Marathon Oil,United States of America,USA,Oil & Gas,No,medium,US5658491064,2910970,01/11/2023,17/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No
Marathon Petroleum,United States of America,USA,Oil & Gas,Yes,large,US56585A1025,B3K3L40,01/11/2023,09/03/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
Marriott International,United States of America,USA,Services,No,large,US5719032022,2210614,01/11/2023,24/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
Martin Marietta Materials,United States of America,USA,Cement,Yes,medium,US5732841060,2572079,01/11/2023,17/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No
Marubeni,Japan,JPN,Aluminium,No,large,JP3877600001,6569464,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No
Maruichi Steel Tube,Japan,JPN,Steel,No,medium,JP3871200006,6569505,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
Matador Resources,United States of America,USA,Oil & Gas,No,small,US5764852050,B7MSLL8,01/11/2023,24/04/2023,2,new,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Mazda,Japan,JPN,Autos,No,large,JP3868400007,6900308,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
McCormick & Co,United States of America,USA,Food Producers,No,medium,US5797802064,2550161,01/11/2023,26/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
McDonalds,United States of America,USA,Consumer Goods,No,large,US5801351017,2550707,01/11/2023,17/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,Yes,No,No,No,No,No,No,No,No,No
McKesson,United States of America,USA,Services,No,large,US58155Q1031,2378534,01/11/2023,28/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
MediaTek,Taiwan,TWN,Other Industrials,No,large,TW0002454006,6372480,01/11/2023,27/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Medtronic,United States of America,USA,Other Industrials,No,large,IE00BTN1Y115,BTN1Y11,01/11/2023,27/03/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Meiji Holdings,Japan,JPN,Food Producers,No,large,JP3918000005,B60DQV3,01/11/2023,01/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Mercedes-Benz,Germany,DEU,Autos,Yes,large,DE0007100000,5529027,01/11/2023,05/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
Merck & Co,United States of America,USA,Consumer Goods,No,large,US58933Y1055,2778844,01/11/2023,12/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Merck Group,Germany,DEU,Other Industrials,No,large,DE0006599905,4741844,01/11/2023,28/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Mercury,New Zealand,NZL,Electricity Utilities,No,large,NZMRPE0001S2,B8W6K56,01/11/2023,24/04/2023,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,No,Yes,Yes,No,No,No,No,No,No
Meridian Energy,New Zealand,NZL,Electricity Utilities,No,large,NZMELE0002S7,BWFD052,01/11/2023,10/03/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
Meta,United States of America,USA,Services,No,large,US30303M1027,B7TL820,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Metalurgica Gerdau,Brazil,BRA,Steel,No,medium,BRGOAUACNPR8,2648862,01/11/2023,04/05/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Methanex,Canada,CAN,Chemicals,No,small,CA59151K1084,2654416,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No
Metsa Board,Finland,FIN,Paper,No,small,FI0009000665,5071432,01/11/2023,04/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Micron Technology,United States of America,USA,Other Industrials,No,large,US5951121038,2588184,01/11/2023,12/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Microsoft,United States of America,USA,Other Industrials,No,large,US5949181045,2588173,01/11/2023,12/05/2023,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Mineral Resources,Australia,AUS,Diversified Mining,No,medium,AU000000MIN4,B17ZL56,01/11/2023,03/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
Minerals Technologies,United States of America,USA,Chemicals,No,small,US6031581068,2595612,01/11/2023,11/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
Mitsubishi,Japan,JPN,Coal Mining,No,large,JP3898400001,6596785,01/11/2023,21/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Mitsubishi Chemical,Japan,JPN,Chemicals,No,large,JP3897700005,B0JQTJ0,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Mitsubishi Electric,Japan,JPN,Other Industrials,No,large,JP3902400005,6597045,01/11/2023,26/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Mitsubishi Gas Chemical Company,Japan,JPN,Chemicals,No,medium,JP3896800004,6596923,01/11/2023,29/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Mitsubishi Materials (Cement),Japan,JPN,Cement,No,medium,JP3903000002,6597089,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Mitsubishi Motors,Japan,JPN,Autos,No,large,JP3899800001,6598446,01/11/2023,23/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
Mitsui & Co (Aluminium),Japan,JPN,Aluminium,No,large,JP3893600001,6597302,01/11/2023,26/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
Mitsui & Co (Coal Mining),Japan,JPN,Coal Mining,No,large,JP3893600001,6597302,01/11/2023,26/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
Mitsui Chemicals,Japan,JPN,Chemicals,No,medium,JP3888300005,6597368,01/11/2023,07/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Mitsui Mining & Smelting,Japan,JPN,Diversified Mining,No,medium,JP3888400003,6597346,01/11/2023,05/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
Mohawk Industries,United States of America,USA,Other Industrials,No,medium,US6081901042,2598699,01/11/2023,13/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,Yes,No,Yes,No,No,No,No,No,No,No,No
Molson Coors,United States of America,USA,Consumer Goods,No,medium,US60871R2094,B067BM3,01/11/2023,04/05/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Mondelez,United States of America,USA,Food Producers,No,large,US6092071058,B8CKK03,01/11/2023,26/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Mondi,United Kingdom,GBR,Paper,No,medium,GB00B1CRLC47,B1CRLC4;B1YCDP4,01/11/2023,21/03/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Mosaic Company,United States of America,USA,Chemicals,No,small,US61945C1036,B3NPHP6,01/11/2023,19/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Mowi,Norway,NOR,Food Producers,No,medium,NO0003054108,B02L486,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
Muda,Malaysia,MYS,Paper,No,small,MYL3883OO005,6609230,01/11/2023,17/04/2023,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Murata Manufacturing,Japan,JPN,Other Industrials,No,large,JP3914400001,6610403,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Murphy Oil,United States of America,USA,Oil & Gas,No,small,US6267171022,2611206,01/11/2023,17/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No
Mytilineos,Greece,GRC,Aluminium,No,medium,GRS393503008,5898664,01/11/2023,02/03/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
NH Foods,Japan,JPN,Food Producers,No,medium,JP3743000006,6640767,01/11/2023,04/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
NHPC,India,IND,Electricity Utilities,No,medium,INE848E01016,B233LP1,01/11/2023,26/04/2023,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
NIO,China,CHN,Autos,No,large,US62914V1061,BFZX9H8,01/11/2023,17/04/2023,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
NMDC,India,IND,Steel,No,medium,INE584A01023,6148119,01/11/2023,17/04/2023,2,new,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
NOF Corporation,Japan,JPN,Chemicals,No,medium,JP3753400005,6640488,01/11/2023,26/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No
NRG Energy,United States of America,USA,Electricity Utilities,Yes,medium,US6293775085,2212922,01/11/2023,15/03/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No
NS United Kaiun Kaisha,Japan,JPN,Shipping,No,small,JP3385000009,6805005,01/11/2023,10/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
NSK,Japan,JPN,Steel,No,medium,JP3720800006,6641544,01/11/2023,23/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
NTPC,India,IND,Electricity Utilities,Yes,large,INE733E01010,B037HF1,01/11/2023,27/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
NXP Semiconductors,United States of America,USA,Other Industrials,No,large,NL0009538784,B505PN7,01/11/2023,17/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No
NYK Line,Japan,JPN,Shipping,No,large,JP3753000003,6643960,01/11/2023,04/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Nakilat,Qatar,QAT,Shipping,No,medium,QA000A0KD6L1,B0MLBC9,01/11/2023,31/03/2023,1,unchanged,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Nan Ya Plastics,Taiwan,TWN,Chemicals,No,large,TW0001303006,6621580,01/11/2023,10/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
National Grid,United Kingdom,GBR,Electricity Utilities,Yes,large,GB00BDR05C01,BDR05C0,01/11/2023,05/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Naturgy Energy,Spain,ESP,Oil & Gas Distribution,No,large,ES0116870314,5650422,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Neoen,France,FRA,Electricity Utilities,No,medium,FR0011675362,BGV7F95,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,No,No,No,No,No,No,No,No
Neste,Finland,FIN,Oil & Gas,No,large,FI0009013296,B06YV46,01/11/2023,04/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
